Config,Organization,RAM,CPU,Scrubbed IPs,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.972,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.886,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.755,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.574,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,59.524,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.942,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.794,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.832,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,276.414,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.433,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.458,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.549,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.413,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.864,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.457,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,143.194,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,79.695,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,74.559,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,33.28,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,137.573,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,27.558,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,92.264,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,6.352,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,5.184,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.725,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.358,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.424,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.965,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.057,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.197,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.336,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.6,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.283,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.289,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.052,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,15.153,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.775,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.178,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.913,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.472,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.677,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.451,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.307,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.269,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.415,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.89,2
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.5,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.282,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,8.191,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.799,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,7.787,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,5.041,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,7.869,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.782,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,7.995,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,8.047,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,7.884,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,8.105,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.909,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,8.338,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.044,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,8.833,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.935,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.774,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.515,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.027,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,201.427,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,13.073,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.31,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,14.546,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.833,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.045,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.95,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,11.905,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.177,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.345,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.834,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.846,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.902,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.359,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.051,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,4.547,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.123,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.334,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.245,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,10.828,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.821,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.387,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.135,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.995,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.276,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.706,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,13.109,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,103.672,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.312,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.073,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.899,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.692,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.641,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.617,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.613,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.381,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.385,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.559,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.536,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.454,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.416,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,10.007,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.43,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.424,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,0.782,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.466,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.522,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.64,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.854,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.423,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.443,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.498,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.503,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.417,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.505,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.609,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.463,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.396,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.59,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.519,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.56,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,6.586,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.58,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.37,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.056,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.399,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.134,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.513,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,2.09,0
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.384,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.479,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.394,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.053,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.417,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.129,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.51,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.166,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.186,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,3.079,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.286,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.416,1
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.484,3
bank_high_high,bank,high,high,xxx.xxx.xxx.xxx,1.402,1
