Config,Organization,RAM,CPU,Source IP,Duration_Seconds,Num_Commands
bank_high_high,bank,high,high,125.94.108.112,4.547,0
bank_high_high,bank,high,high,170.64.163.56,3.123,1
bank_high_high,bank,high,high,170.64.163.56,2.334,0
bank_high_high,bank,high,high,85.192.56.68,2.245,0
bank_high_high,bank,high,high,134.209.239.102,10.828,1
bank_high_high,bank,high,high,222.102.21.102,3.821,0
bank_high_high,bank,high,high,194.169.175.38,3.387,0
bank_high_high,bank,high,high,85.192.56.68,2.135,0
bank_high_high,bank,high,high,64.62.156.66,3.995,0
bank_high_high,bank,high,high,134.209.239.102,1.276,1
bank_high_high,bank,high,high,195.178.110.112,1.706,1
bank_high_high,bank,high,high,103.133.105.36,13.109,0
bank_high_high,bank,high,high,103.133.105.36,103.672,0
bank_high_high,bank,high,high,46.19.143.66,1.312,0
bank_high_high,bank,high,high,134.209.239.102,2.073,1
bank_high_high,bank,high,high,134.209.239.102,1.899,1
bank_high_high,bank,high,high,85.192.56.68,2.692,0
bank_high_high,bank,high,high,164.90.215.117,1.641,1
bank_high_high,bank,high,high,164.90.215.117,1.617,1
bank_high_high,bank,high,high,164.90.215.117,1.613,1
bank_high_high,bank,high,high,164.90.215.117,1.381,1
bank_high_high,bank,high,high,164.90.215.117,1.385,1
bank_high_high,bank,high,high,164.90.215.117,1.559,1
bank_high_high,bank,high,high,164.90.215.117,1.536,1
bank_high_high,bank,high,high,164.90.215.117,1.454,1
bank_high_high,bank,high,high,45.148.10.119,1.416,1
bank_high_high,bank,high,high,79.110.62.21,10.007,0
bank_high_high,bank,high,high,164.90.215.117,1.43,1
bank_high_high,bank,high,high,164.90.215.117,1.424,1
bank_high_high,bank,high,high,134.209.239.102,0.782,0
bank_high_high,bank,high,high,164.90.215.117,1.466,1
bank_high_high,bank,high,high,164.90.215.117,1.522,1
bank_high_high,bank,high,high,164.90.215.117,1.64,1
bank_high_high,bank,high,high,101.126.144.184,2.854,0
bank_high_high,bank,high,high,164.90.215.117,1.423,1
bank_high_high,bank,high,high,164.90.215.117,1.443,1
bank_high_high,bank,high,high,85.192.56.68,2.498,0
bank_high_high,bank,high,high,164.90.215.117,1.503,1
bank_high_high,bank,high,high,164.90.215.117,1.417,1
bank_high_high,bank,high,high,164.90.215.117,1.505,1
bank_high_high,bank,high,high,164.90.215.117,1.609,1
bank_high_high,bank,high,high,164.90.215.117,1.463,1
bank_high_high,bank,high,high,164.90.215.117,1.396,1
bank_high_high,bank,high,high,164.90.215.117,1.59,1
bank_high_high,bank,high,high,164.90.215.117,1.519,1
bank_high_high,bank,high,high,164.90.215.117,1.56,1
bank_high_high,bank,high,high,194.169.175.38,6.586,0
bank_high_high,bank,high,high,164.90.215.117,1.58,1
bank_high_high,bank,high,high,164.90.215.117,1.37,1
bank_high_high,bank,high,high,164.90.215.117,1.056,0
bank_high_high,bank,high,high,164.90.215.117,1.399,1
bank_high_high,bank,high,high,134.209.239.102,1.134,0
